id,title,full_word_count,truncated,prediction,prediction_short,fraction_ai,fraction_ai_assisted,fraction_human,num_ai_segments,num_ai_assisted_segments,num_human_segments,version,stage,error
058-kristin-lavransdatter,Kristin Lavransdatter,9684,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

055-kakistocracy-by-richard-hanania,"Kakistocracy, by Richard Hanania",9355,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

066-moral-tribes,Moral Tribes,2923,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

057-king-rat,King Rat,2939,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

071-painting-abstract-landscapes,Painting Abstract Landscapes,7196,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

073-patrocleia-book-xvi-of-homers-iliad-adapted-by-christopher-logue,"Patrocleia. Book XVI of Homer’s Iliad, adapted by Christopher Logue",2137,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

072-parfit-a-philosopher-and-his-mission-to-save-morality,Parfit: A Philosopher and his Mission to Save Morality,16812,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

077-plotting-your-fantasy-novel,Plotting Your Fantasy Novel,5348,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

070-orality-and-literacy-by-walter-ong,Orality and Literacy by Walter Ong,6980,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

078-plutarchs-parallel-lives-tiberius-and-gaius-gracchi,Plutarchs' Parallel Lives - Tiberius and Gaius Gracchi,5082,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

080-probability-theory-the-logic-of-science,Probability Theory: The Logic of Science,3894,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

079-prior-analytics,Prior Analytics,8149,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

069-night-by-elie-wiesel,Night by Elie Wiesel,4681,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

081-progressive-myths,Progressive Myths,6067,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

084-richard-c-schwartzs-no-bad-parts,"Richard C. Schwartz's ""No Bad Parts""",4782,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

085-scenebux-a-novel,Scenebux: A Novel,1931,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

083-religion-for-atheists,Religion for Atheists,5647,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

087-siddhartha-1922-by-hermann-hesse,Siddhartha (1922) by Hermann Hesse,4063,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

089-storm-of-steel,Storm of Steel,8538,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

088-stabilizing-an-unstable-economy,Stabilizing an Unstable Economy,8206,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

082-radical-hope-ethics-in-the-face-of-cultural-devastation-by-jonathan-lear,Radical Hope: Ethics in the Face of Cultural Devastation by Jonathan Lear,9692,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

091-that-hideous-strength,That Hideous Strength,16710,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

086-seeing-that-frees,Seeing That Frees,2947,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

096-the-cambridge-introduction-to-jacques-lacan,The Cambridge Introduction to Jacques Lacan,3498,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

094-the-book-of-abraham,The Book of Abraham.,14120,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

090-summa-technologiae,Summa Technologiae,6790,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

097-the-campaigns-of-napoleon,The Campaigns of Napoleon,2385,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

098-the-carnation-revolution,The Carnation Revolution,10395,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

099-the-disciplinary-revolution-calvinism-and-the-rise-of-the-state-in-early-modern-europe,The Disciplinary Revolution: Calvinism and the Rise of the State in Early Modern Europe,5235,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

092-the-affluent-society-by-john-kenneth-galbraith,The Affluent Society by John Kenneth Galbraith,5829,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

095-the-brothers-karamazov,The Brothers Karamazov,1151,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,4,3.3.2,STAGE_SUCCESS,

102-the-epic-of-gilgamesh,The Epic of Gilgamesh,11835,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

106-the-fourth-sword,The Fourth Sword,5495,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

105-the-evolution-of-desire-by-david-buss,The Evolution of Desire by David Buss,3781,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

108-the-ghost-in-my-brain,The Ghost In My Brain,4193,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

103-the-escape-artist,The Escape Artist,7734,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

110-the-hero-in-history,The Hero in History,5816,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

100-the-empyrean-series-fourth-wing-iron-flame-and-onyx-storm,"The Empyrean Series: Fourth Wing, Iron Flame, and Onyx Storm",7952,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

109-the-gods-themselves,The Gods Themselves,2419,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

111-the-history-and-adventures-of-an-atom-by-tobias-smollett,The History and Adventures of an Atom by Tobias Smollett,6004,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

112-the-holy-quran,The Holy Quran,5740,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

113-the-inhabited-island,The Inhabited Island,2813,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

107-the-full-facts-book-of-cold-reading,The Full Facts Book Of Cold Reading,5944,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

115-the-knowledge-machine,The Knowledge Machine,8431,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

116-the-last-temptation-of-christ,The Last Temptation of Christ,571,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,2,3.3.2,STAGE_SUCCESS,

118-the-life-changing-magic-of-tidying-up,The Life-Changing Magic of Tidying Up,5610,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

120-the-marriage-of-cadmus-and-harmony,The Marriage of Cadmus and Harmony,8780,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

117-the-lever-of-riches,The Lever of Riches,11554,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,7,3.3.2,STAGE_SUCCESS,

119-the-man-who-was-thursday,The Man Who Was Thursday,12277,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

121-the-master-margarita,The Master & Margarita,3783,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

123-the-mind-is-flat-by-nick-chater,The Mind is Flat by Nick Chater,7043,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

104-the-evolution-of-cooperation-by-robert-axelrod,The Evolution of Cooperation (by Robert Axelrod),2569,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

126-the-pictures-of-socialist-future,The Pictures of Socialist Future,5864,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

125-the-overstory,The Overstory,3856,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

130-the-red-queen,The Red Queen,7895,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

129-the-radicalism-of-the-american-revolution,The Radicalism of the American Revolution,7634,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

101-the-end-of-history-and-the-last-man,The End of History and the Last Man,3996,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

131-the-rule-of-law,The Rule of Law,2877,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

122-the-merry-wives-of-windsor,The Merry Wives of Windsor,7800,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

133-the-short-swift-time-of-gods-on-earth,"The Short, Swift Time of Gods on Earth",9954,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

127-the-pillow-book,The Pillow Book,5462,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

132-the-science-of-second-chances,The Science of Second Chances,7802,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

137-the-sun-also-rises,The Sun Also Rises,1512,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

138-the-tale-of-genji,The Tale of Genji,9850,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

135-the-son-also-rises,The Son Also Rises,7586,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

139-the-war-nerd-iliad,The War Nerd Iliad,4503,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

134-the-sins-of-gk-chesterton,The Sins of GK Chesterton,7734,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

136-the-sovereign-child,The Sovereign Child,8980,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

145-thomas-urquharts-translation-of-rabelais,Thomas Urquhart's Translation of Rabelais,4604,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

141-the-wisdom-of-mike-mentzer,The Wisdom of Mike Mentzer,6806,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

143-there-is-no-antimemetics-division,There Is No Antimemetics division,4516,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

146-tiger-chair,Tiger Chair,1255,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,4,3.3.2,STAGE_SUCCESS,

147-time-gifts,Time Gifts,4931,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

148-timefulness,Timefulness,2744,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

151-trip-sitting-the-art-and-science-of-holding-psychedelic-space,Trip Sitting: The Art and Science of Holding Psychedelic Space,1108,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,3,3.3.2,STAGE_SUCCESS,

150-traces-erased-by-the-sun,Traces Erased by the Sun,3580,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

152-unforgiving-places-the-unexpected-origins-of-american-gun-violence,Unforgiving Places: The Unexpected Origins of American Gun Violence,2397,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,5,3.3.2,STAGE_SUCCESS,

142-theodicy,Theodicy,5061,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

149-tortilla-flat-by-john-steinbeck,Tortilla Flat by John Steinbeck,5962,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

155-we-present-television,We Present Television,9198,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

158-why-greatness-cannot-be-planned-by-joel-lehman-and-kenneth-stanley,"Why Greatness Cannot Be Planned, by Joel Lehman and Kenneth Stanley",5267,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

157-what-is-real,What is Real?,10106,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

159-wild-wise-weird,Wild Wise Weird,1508,False,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,4,3.3.2,STAGE_SUCCESS,

162-undertook-learn-russian-about-ten-years,Бесы,4801,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

140-the-waves,The Waves,4631,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

160-works-by-isaac-bickerstaff,Works By Isaac Bickerstaff,7380,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,

161-world-war-z,World War Z,3559,True,We believe that this document is fully human-written,Human,0.0,0.0,1.0,0,0,6,3.3.2,STAGE_SUCCESS,
